Geography,Car_Truck_Van_Less_Than_15,Car_Truck_Van_15_to_29,Car_Truck_Van_30_to_44,Car_Truck_Van_45_to_59,Car_Truck_Van_More_Than_60,Car_Truck_Van_Avg_Duration,Public_Transit_Less_Than_15,Public_Transit_15_to_29,Public_Transit_30_to_44,Public_Transit_45_to_59,Public_Transit_More_Than_60,Public_Transit_Avg_Duration,Active_Transportation_Less_Than_15,Active_Transportation_15_to_29,Active_Transportation_30_to_44,Active_Transportation_45_to_59,Active_Transportation_More_Than_60,Active_Transportation_Avg_Duration,Motorcycle_Scooter_Moped_Less_Than_15,Motorcycle_Scooter_Moped_15_to_29,Motorcycle_Scooter_Moped_30_to_44,Motorcycle_Scooter_Moped_45_to_59,Motorcycle_Scooter_Moped_More_Than_60,Motorcycle_Scooter_Moped_Avg_Duration,Other_Less_Than_15,Other_15_to_29,Other_30_to_44,Other_45_to_59,Other_More_Than_60,Other_Avg_Duration,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
St. Mary's,35,0,0,0,10,20.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,313,347,-9.8,36.41,8.6
St. Mary's,35,0,0,0,10,20.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.S.,"2,161","2,233",-3.2,"1,904.08",1.1
Riverhead,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,165,185,-10.8,101.84,1.6
Admirals Beach,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,97,135,-28.1,24.2,4
St. Joseph's,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,86,115,-25.2,29.22,2.9
Mount Carmel-Mitchells Brook-St. Catherine's,25,10,20,0,0,21.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,382,349,9.5,60.76,6.3
"Division No.  1, Subd. X",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,541,513,5.5,567.62,1
Colinet,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,103,80,28.8,6.01,17.1
"Division No.  1, Subd. C",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,106,100,6,815.64,0.1
Branch,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,177,228,-22.4,16.18,10.9
Point Lance,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,87,102,-14.7,28.29,3.1
St. Bride's,45,15,0,0,0,12.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,318,252,26.2,5.38,59.1
"Division No.  1, Subd. B",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,356,360,-1.1,454.34,0.8
Placentia,605,170,35,25,80,17.9,0,0,0,0,0,0.0,40,0,0,0,0,3.0,0,0,0,0,0,0.0,15,0,0,0,0,30.0,N.L.,"3,289","3,496",-5.9,57.8,56.9
Fox Harbour,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,226,252,-10.3,19.81,11.4
Arnold's Cove,175,30,50,20,35,22.8,0,0,0,0,0,0.0,15,0,0,0,0,6.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,964,949,1.6,5.25,183.8
Come By Chance,65,35,80,30,20,31.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,208,228,-8.8,39.55,5.3
Sunnyside,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,407,396,2.8,39.02,10.4
Chance Cove,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,213,256,-16.8,18.14,11.7
Norman's Cove-Long Cove,45,10,0,0,0,12.6,0,0,0,0,0,0.0,15,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,647,666,-2.9,20.15,32.1
Chapel Arm,40,0,0,0,0,16.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,446,457,-2.4,28.08,15.9
"Division No.  1, Subd. Y",40,10,20,0,15,23.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,211","1,118",8.3,190.76,6.3
Whitbourne,290,160,65,35,30,18.3,0,0,0,0,0,0.0,40,0,0,0,0,3.4,0,0,0,0,0,0.0,10,0,0,0,0,0.0,N.L.,955,890,7.3,21.51,44.4
"Division No.  1, Subd. E",120,90,25,10,0,14.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"2,835","2,943",-3.7,218.85,13
Whiteway,30,10,0,0,0,20.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,351,373,-5.9,22.53,15.6
Heart's Delight-Islington,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,646,674,-4.2,26.95,24
Heart's Desire,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,184,213,-13.6,17.02,10.8
"Division No.  1, Subd. F",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,539,548,-1.6,173.02,3.1
Heart's Content,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,330,340,-2.9,62.87,5.2
New Perlican,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,200,186,7.5,24.45,8.2
Winterton,15,0,10,0,0,18.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,436,450,-3.1,10.61,41.1
Hant's Harbour,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,318,329,-3.3,31.86,10
"Division No.  1, Subd. G",30,20,15,0,0,18.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,673","1,866",-10.3,302.69,5.5
Old Perlican,130,95,30,30,45,23.0,0,0,0,0,15,95.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,608,633,-3.9,14.14,43
Bay de Verde,135,85,55,50,50,26.6,0,0,0,0,0,0.0,30,0,0,0,0,5.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,347,392,-11.5,13.24,26.2
Small Point-Adam's Cove-Blackhead-Broad Cove,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,414,387,7,23.12,17.9
"Division No.  1, Subd. H",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,328,390,-15.9,57.2,5.7
Salmon Cove,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,764,680,12.4,4.21,181.6
Victoria,45,10,15,0,0,17.6,0,0,0,0,0,0.0,20,0,0,0,0,4.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,658","1,800",-7.9,17.96,92.3
Victoria,45,10,15,0,0,17.6,0,0,0,0,0,0.0,20,0,0,0,0,4.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,P.E.I.,139,74,87.8,1.44,96.5
Victoria,45,10,15,0,0,17.6,0,0,0,0,0,0.0,20,0,0,0,0,4.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,B.C.,"91,867","85,792",7.1,19.45,"4,722.30"
Carbonear,"1,105",725,295,25,95,17.1,0,0,0,0,0,0.0,45,15,10,0,0,11.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"4,696","4,858",-3.3,12.44,377.4
"Division No.  1, Subd. I",15,0,0,0,0,20.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,320,299,7,64.11,5
Bryant's Cove,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,343,395,-13.2,4.9,70
Harbour Grace,215,145,30,0,20,15.2,0,0,0,0,0,0.0,15,0,0,0,0,8.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"2,796","2,995",-6.6,33.71,82.9
Upper Island Cove,25,10,0,0,0,11.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,401","1,561",-10.2,7.82,179.2
"Division No.  1, Subd. J",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,0,0,0,0.45,0
Bishop's Cove,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,252,287,-12.2,1.9,132.4
Spaniard's Bay,160,65,0,0,20,13.5,0,0,0,0,0,0.0,20,0,0,0,0,4.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"2,630","2,653",-0.9,66.09,39.8
"Division No.  1, Subd. K",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,35,28,25,37.13,0.9
Bay Roberts,"1,230",540,75,75,40,14.2,0,0,0,0,0,0.0,60,10,0,0,0,5.3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"5,974","6,012",-0.6,24.51,243.7
"Division No.  1, Subd. L",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,874,928,-5.8,8.1,107.9
"Division No.  1, Subd. M",15,0,0,0,0,20.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,145","1,073",6.7,139.98,8.2
North River,50,0,10,0,0,12.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,579,570,1.6,4.2,137.7
Clarke's Beach,130,60,20,25,10,18.2,0,0,0,0,0,0.0,20,0,0,0,0,4.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,N.L.,"1,400","1,558",-10.1,12.64,110.7
South River,30,20,0,10,0,16.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,674,647,4.2,5.97,113
South River,30,20,0,10,0,16.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,Ont.,"1,101","1,114",-1.2,4.11,268
Cupids,20,10,15,0,10,37.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,699,743,-5.9,10.86,64.4
"Division No.  1, Subd. N",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,356,372,-4.3,12.85,27.7
Brigus,30,10,10,0,0,13.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,699,723,-3.3,11.48,60.9
"Division No.  1, Subd. O",0,0,0,0,0,0.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,829,663,25,78.38,10.6
Colliers,15,10,10,0,0,20.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,613,654,-6.3,26.24,23.4
Conception Harbour,10,0,10,0,0,20.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,624,685,-8.9,21.47,29.1
Avondale,35,30,20,10,10,25.2,0,0,0,0,0,0.0,15,0,0,0,0,11.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,584,641,-8.9,29.69,19.7
Harbour Main-Chapel's Cove-Lakeview,30,0,15,0,0,24.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,065","1,067",-0.2,21.19,50.3
Holyrood,235,205,80,55,20,20.7,0,0,0,0,0,0.0,25,0,0,0,0,4.6,0,0,0,0,0,0.0,20,0,0,0,0,1.0,N.L.,"2,471","2,463",0.3,126.02,19.6
Conception Bay South,"1,965","1,140",170,40,60,14.2,0,0,0,0,0,0.0,140,10,20,0,0,10.4,0,0,0,0,0,0.0,115,0,15,0,0,4.4,N.L.,"27,168","26,199",3.7,59.72,454.9
"Division No.  1, Subd. R",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,264,322,-18,16.82,15.7
Wabana,125,10,10,0,20,17.3,0,0,0,0,0,0.0,15,10,10,0,0,17.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,815","2,146",-15.4,14.49,125.3
Portugal Cove-St. Philip's,200,260,40,10,15,16.6,0,0,0,0,0,0.0,80,0,0,0,0,3.1,0,0,0,0,0,0.0,0,30,0,0,0,17.0,N.L.,"8,415","8,147",3.3,57.61,146.1
Pouch Cove,35,25,30,0,0,19.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"2,063","2,069",-0.3,58.24,35.4
Flatrock,30,20,0,0,0,14.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,10,0,0,0.0,N.L.,"1,722","1,683",2.3,18.1,95.1
Torbay,355,310,85,10,10,15.5,0,0,0,0,0,0.0,50,0,0,0,0,4.5,0,0,0,0,0,0.0,0,15,0,0,0,15.0,N.L.,"7,852","7,899",-0.6,34.89,225
Logy Bay-Middle Cove-Outer Cove,55,65,20,0,0,18.4,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,N.L.,"2,364","2,221",6.4,16.99,139.1
Bauline,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,412,452,-8.8,16.05,25.7
Paradise,"1,790","1,400",185,70,130,16.6,0,15,10,0,0,20.0,100,15,0,0,0,7.0,0,0,0,0,0,0.0,110,25,0,0,25,17.8,N.L.,"22,957","21,389",7.3,29.67,773.8
St. John's,"18,920","22,485","3,255",620,"1,040",16.8,180,580,650,230,210,32.3,"1,475","1,020",250,35,30,13.9,0,0,0,0,0,0.0,530,135,55,0,170,26.5,N.L.,"110,525","108,860",1.5,446.02,247.8
Petty Harbour-Maddox Cove,15,15,0,0,15,41.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,947,960,-1.4,4.4,215.3
Bay Bulls,250,60,35,10,0,11.2,0,0,0,0,0,0.0,40,0,0,0,0,5.6,0,0,0,0,0,0.0,10,0,0,0,0,0.0,N.L.,"1,566","1,500",4.4,30.6,51.2
Witless Bay,260,50,40,20,0,11.7,0,0,0,0,0,0.0,10,0,15,0,0,17.5,0,0,0,0,0,0.0,15,10,0,0,0,14.0,N.L.,"1,640","1,619",1.3,17.61,93.1
"Division No.  1, Subd. D",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,119,88,35.2,298.06,0.4
"Division No.  2, Subd. E",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,251,246,2,136.58,1.8
Lewin's Cove,75,10,10,0,0,11.2,0,0,0,0,0,0.0,15,0,0,0,0,3.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,546,544,0.4,6.33,86.3
Burin,435,160,40,35,0,12.8,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,10,10,0,0,0,8.0,N.L.,"2,237","2,315",-3.4,34.49,64.9
"Division No.  2, Subd. F",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,99,117,-15.4,198.89,0.5
St. Lawrence,265,100,60,90,40,23.4,0,0,0,0,0,0.0,35,10,0,0,0,8.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,115","1,192",-6.5,34.86,32
"Division No.  2, Subd. G",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,25,10,150,366.98,0.1
Lawn,80,0,0,0,0,6.2,0,0,0,0,0,0.0,30,0,0,0,0,4.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,583,624,-6.6,3.52,165.7
Lamaline,35,10,0,15,0,18.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,218,267,-18.4,79.75,2.7
Lord's Cove,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,155,162,-4.3,29.91,5.2
Point May,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,254,231,10,63.25,4
Point au Gaul,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,67,88,-23.9,3.89,17.2
"Division No.  2, Subd. H",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,196,178,10.1,269.35,0.7
Frenchman's Cove,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,159,169,-5.9,69.07,2.3
Fortune,165,15,25,15,0,16.7,0,0,0,0,0,0.0,30,15,0,0,0,7.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,285","1,401",-8.3,54.77,23.5
Grand Bank,365,15,15,0,10,8.4,0,0,0,0,0,0.0,60,0,0,0,0,11.0,0,0,0,0,0,0.0,0,10,0,0,0,0.0,N.L.,"2,152","2,310",-6.8,16.82,127.9
Garnish,10,0,0,0,0,13.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,542,568,-4.6,39.1,13.9
"Division No.  2, Subd. D",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,204,226,-9.7,33.17,6.2
Winterland,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,398,390,2.1,54.44,7.3
Marystown,940,590,150,30,25,14.2,0,0,0,0,0,0.0,20,15,0,0,0,12.0,0,0,0,0,0,0.0,15,0,0,0,0,17.0,N.L.,"5,204","5,316",-2.1,62.23,83.6
Fox Cove-Mortier,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,252,295,-14.6,25.39,9.9
"Division No.  2, Subd. I",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,123,136,-9.6,491.98,0.3
Bay L'Argent,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,234,241,-2.9,3.74,62.6
"Division No.  2, Subd. J",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,0,0,0,267.48,0
Grand Le Pierre,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,176,235,-25.1,142.81,1.2
"Division No.  2, Subd. C",15,0,0,0,0,16.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,538,566,-4.9,"1,463.65",0.4
Rushoon,20,10,0,0,0,12.4,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,229,245,-6.5,5.89,38.9
Parkers Cove,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,233,248,-6,4.77,48.8
Terrenceville,30,0,0,0,0,21.6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,446,482,-7.5,15.12,29.5
Red Harbour,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,177,189,-6.3,11.19,15.8
English Harbour East,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,117,139,-15.8,2.81,41.7
Baine Harbour,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,126,124,1.6,4.15,30.4
