Geography,Car_Truck_Van_Less_Than_15,Car_Truck_Van_15_to_29,Car_Truck_Van_30_to_44,Car_Truck_Van_45_to_59,Car_Truck_Van_More_Than_60,Car_Truck_Van_Avg_Duration,Public_Transit_Less_Than_15,Public_Transit_15_to_29,Public_Transit_30_to_44,Public_Transit_45_to_59,Public_Transit_More_Than_60,Public_Transit_Avg_Duration,Active_Transportation_Less_Than_15,Active_Transportation_15_to_29,Active_Transportation_30_to_44,Active_Transportation_45_to_59,Active_Transportation_More_Than_60,Active_Transportation_Avg_Duration,Motorcycle_Scooter_Moped_Less_Than_15,Motorcycle_Scooter_Moped_15_to_29,Motorcycle_Scooter_Moped_30_to_44,Motorcycle_Scooter_Moped_45_to_59,Motorcycle_Scooter_Moped_More_Than_60,Motorcycle_Scooter_Moped_Avg_Duration,Other_Less_Than_15,Other_15_to_29,Other_30_to_44,Other_45_to_59,Other_More_Than_60,Other_Avg_Duration,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021),Province or Territory Abbreviation
Acadieville,10.0,10.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,709.0,6.1,332.08,2.3,N.B.
Acme,145.0,60.0,15.0,30.0,40.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,653.0,-7.2,2.49,243.7,Alta.
Acton Vale,1300.0,560.0,430.0,120.0,75.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,190.0,70.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,12.0,7605.0,7656.0,-0.7,91.01,83.6,Que.
Addington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,656.0,6.4,933.0,0.7,N.B.
Adelaide-Metcalfe,400.0,295.0,210.0,85.0,10.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,75.0,10.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3011.0,2990.0,0.7,331.11,9.1,Ont.
Adjala-Tosorontio,360.0,265.0,140.0,115.0,65.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,10989.0,10975.0,0.1,371.53,29.6,Ont.
Admaston/Bromley,20.0,30.0,30.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2995.0,2935.0,2.0,519.59,5.8,Ont.
Admirals Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,135.0,-28.1,24.2,4.0,N.L.
Adstock,100.0,190.0,75.0,10.0,15.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2903.0,2806.0,3.5,290.03,10.0,Que.
Agats Meadow 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,B.C.
Agency 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,Ont.
Aguanish,25.0,25.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,245.0,-8.6,532.04,0.4,Que.
Ahahswinis 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,119.0,26.1,0.41,368.0,B.C.
Ahaminaquus 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,B.C.
Ahtahkakoop 104,110.0,25.0,20.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.0,1472.0,-4.8,173.75,8.1,Sask.
Airdrie,6100.0,3645.0,2205.0,545.0,175.0,18.0,55.0,40.0,15.0,10.0,50.0,36.4,470.0,285.0,60.0,15.0,10.0,12.6,10.0,0.0,0.0,0.0,0.0,0.0,250.0,30.0,50.0,0.0,0.0,11.7,74100.0,61581.0,20.3,84.39,878.1,Alta.
Aitchelitch 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,200.0,0.21,215.5,B.C.
Ajax,5560.0,6800.0,3190.0,945.0,905.0,22.1,105.0,235.0,205.0,175.0,405.0,45.9,595.0,260.0,50.0,30.0,20.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,435.0,90.0,70.0,55.0,60.0,16.0,126666.0,119677.0,5.8,66.64,1900.6,Ont.
Aklavik,80.0,10.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.2,536.0,590.0,-9.2,12.29,43.6,N.W.T.
Akulivik,32.5,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,42.5,5.0,0.0,0.0,0.0,3.75,15.0,0.0,0.0,0.0,0.0,1.55,5.0,0.0,0.0,0.0,0.0,3.6,642.0,633.0,1.4,75.02,8.6,Que.
Alameda,50.0,25.0,15.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,369.0,-6.5,2.53,136.6,Sask.
Albanel,165.0,75.0,25.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2181.0,2262.0,-3.6,197.45,11.0,Que.
Alberni 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-100.0,0.55,0.0,B.C.
Alberni-Clayoquot A,40.0,0.0,10.0,0.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,243.0,5.3,1619.77,0.2,B.C.
Alberni-Clayoquot B,15.0,25.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,443.0,19.9,92.22,5.8,B.C.
Alberni-Clayoquot C,50.0,40.0,10.0,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,677.0,29.2,3199.27,0.3,B.C.
Alberni-Clayoquot D,55.0,115.0,0.0,15.0,15.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1843.0,1616.0,14.0,1398.89,1.3,B.C.
Alberni-Clayoquot E,100.0,50.0,10.0,0.0,10.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2946.0,2754.0,7.0,21.91,134.4,B.C.
Alberni-Clayoquot F,240.0,115.0,0.0,0.0,15.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,1935.0,2.2,186.53,10.6,B.C.
Albert Flat 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,20.0,105.0,0.82,50.1,B.C.
Alberta Beach,35.0,40.0,25.0,0.0,15.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,1018.0,-15.1,2.02,427.7,Alta.
Alberton,163.33333333333334,133.33333333333334,16.666666666666668,3.3333333333333335,13.333333333333334,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1301.0,1145.0,13.6,4.7,277.0,P.E.I.
Albertville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,226.0,5.8,103.13,2.3,Que.
Alderville First Nation,45.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,495.0,9.5,12.59,43.0,Ont.
Alexander,210.0,90.0,35.0,30.0,65.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3854.0,3333.0,15.6,1560.05,2.5,Man.
Alexander 134,230.0,35.0,20.0,15.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,1099.0,-2.0,68.39,15.7,Alta.
Alexis 133,55.0,10.0,0.0,0.0,10.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,755.0,2.0,56.6,13.6,Alta.
Alexis 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1.88,5.3,B.C.
Alexis Creek 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.64,3.0,B.C.
Alexis Creek 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,B.C.
Alexis Creek 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,B.C.
Alexis Creek 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,B.C.
Alfred and Plantagenet,530.0,450.0,160.0,55.0,70.0,19.2,0.0,0.0,0.0,0.0,10.0,0.0,80.0,10.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,17.0,9949.0,9680.0,2.8,391.79,25.4,Ont.
"Algoma, Unorganized, North Part",85.0,190.0,65.0,60.0,130.0,39.9,0.0,25.0,15.0,0.0,0.0,24.0,25.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,10.0,0.0,0.0,31.2,6050.0,5739.0,5.4,43618.95,0.1,Ont.
"Algoma, Unorganized, South East Part",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,43.17,0.1,Ont.
Algonquin Highlands,55.0,55.0,35.0,10.0,20.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2588.0,2351.0,10.1,999.69,2.6,Ont.
Alice Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,51.0,60.8,0.71,114.7,Sask.
Alida,40.0,25.0,45.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,120.0,-14.2,0.38,272.0,Sask.
Alix,80.0,30.0,50.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,734.0,5.4,3.11,248.9,Alta.
Alkali Lake 1,50.0,0.0,0.0,0.0,10.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,328.0,9.1,2.59,138.3,B.C.
Alkali Lake 4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,-50.0,1.29,3.9,B.C.
Allan,10.0,10.0,10.0,15.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,625.0,644.0,-3.0,1.8,347.8,Sask.
Allardville,60.0,35.0,30.0,10.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0,2032.0,-4.1,654.6,3.0,N.B.
Alleyn-et-Cawood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,172.0,33.1,308.91,0.7,Que.
Alma,2145.0,993.3333333333334,391.6666666666667,235.0,58.333333333333336,23.233333333333334,0.0,0.0,0.0,0.0,3.3333333333333335,33.333333333333336,168.33333333333334,53.333333333333336,5.0,0.0,0.0,3.1,5.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,8.333333333333334,0.0,0.0,5.3,282.0,213.0,32.4,47.64000000000001,5.900000000000001,N.B.
Alnwick,120.0,70.0,25.0,0.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615.0,3640.0,-0.7,668.84,5.4,N.B.
Alnwick/Haldimand,195.0,255.0,95.0,65.0,35.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,8.4,7473.0,6869.0,8.8,398.25,18.8,Ont.
Alonsa,40.0,50.0,15.0,0.0,20.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.0,1247.0,-3.0,3006.17,0.4,Man.
Altona,1350.0,280.0,130.0,25.0,55.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,235.0,40.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4267.0,4212.0,1.3,9.35,456.3,Man.
Alvena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,25.0,0.43,173.2,Sask.
Amaranth,195.0,160.0,60.0,30.0,25.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4327.0,4079.0,6.1,265.02,16.3,Ont.
Amherst,1167.5,440.0,212.5,70.0,32.5,19.4,0.0,0.0,0.0,0.0,0.0,0.0,60.0,50.0,20.0,0.0,0.0,8.45,0.0,0.0,0.0,0.0,0.0,0.0,22.5,7.5,5.0,0.0,0.0,6.5,9404.0,9413.0,-0.1,12.07,779.4,N.S.
Amherstburg,1605.0,1080.0,635.0,120.0,45.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,140.0,30.0,15.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,75.0,10.0,0.0,0.0,10.0,12.1,23524.0,21936.0,7.2,183.76,128.0,Ont.
Amisk,30.0,10.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,204.0,7.4,0.76,288.0,Alta.
Amos,3615.0,1480.0,490.0,235.0,185.0,15.2,0.0,0.0,0.0,0.0,10.0,46.0,420.0,170.0,25.0,0.0,10.0,11.7,20.0,0.0,0.0,0.0,0.0,7.0,40.0,20.0,0.0,0.0,0.0,28.8,12675.0,12823.0,-1.2,429.04,29.5,Que.
Amqui,1625.0,885.0,115.0,55.0,35.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,185.0,40.0,10.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,19.5,5999.0,6178.0,-2.9,121.02,49.6,Que.
Anacla 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,82.0,26.8,0.93,112.1,B.C.
Anahim's Flat 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,342.0,27.8,38.59,11.3,B.C.
Anahim's Meadow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,4.19,2.4,B.C.
Anchor Point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,314.0,-2.9,2.26,134.9,N.L.
Andover,35.0,10.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,891.0,-1.3,123.42,7.1,N.B.
Andrew,35.0,20.0,20.0,0.0,15.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,425.0,-13.9,1.18,310.1,Alta.
Ange-Gardien,475.0,590.0,240.0,35.0,25.0,19.2,0.0,25.0,15.0,0.0,35.0,47.6,65.0,15.0,0.0,0.0,0.0,6.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2889.0,2699.0,7.0,90.21,32.0,Que.
